94;floating_harbor;2952.00;9.50;1850.00;0.00;21
113;floating_harbor;2726.00;9.50;1576.00;-2.55;11293
118;floating_harbor;2710.87;9.50;1245.74;-3.61;4135
145;floating_harbor;3127.88;9.50;1749.82;-0.59;9228
178;floating_harbor;2541.00;9.50;1113.00;1.57;13071
278;floating_harbor;1897.95;9.50;295.95;-0.79;15258
299;floating_harbor;1886.63;9.50;86.47;0.67;12960
308;floating_harbor;1848.00;9.50;1138.00;-3.14;4450
327;floating_harbor;4659.00;9.50;887.00;1.42;14711
337;floating_harbor;2704.21;9.50;1795.64;-0.32;13003
360;floating_harbor;1647.00;9.50;1506.00;-2.71;6845
632;floating_harbor;5000.00;9.50;968.95;-0.79;13047
638;floating_harbor;5000.00;9.50;847.00;-2.07;12140
648;floating_harbor;5000.00;9.50;1023.00;-2.16;13026
649;floating_harbor;1372.00;9.50;836.00;1.57;5023
687;floating_harbor;1918.50;9.50;969.60;-1.19;4982
692;floating_harbor;1851.00;9.50;1087.00;0.00;379
694;floating_harbor;1851.88;9.50;1119.18;-2.55;9377
696;floating_harbor;1842.00;9.50;1396.00;-2.32;13010
697;floating_harbor;2532.00;9.50;1191.00;1.57;3118
698;floating_harbor;2414.70;9.50;1279.96;-1.87;1751
702;floating_harbor;2402.05;9.50;928.95;0.79;13014
703;floating_harbor;2575.00;9.50;572.00;-1.57;13013
706;floating_harbor;3669.00;9.50;304.00;-3.14;13017
707;floating_harbor;3704.05;9.50;323.05;-3.93;13018
710;floating_harbor;3967.00;9.50;499.00;-3.25;13019
711;floating_harbor;4465.00;9.50;481.00;-1.57;13005
712;floating_harbor;4312.95;9.50;407.05;-2.36;13002
713;floating_harbor;3985.00;9.50;41.00;-0.46;2165
722;floating_harbor;3302.01;9.50;1989.73;-0.61;9140
725;floating_harbor;5000.00;9.50;649.00;0.00;13038
730;floating_harbor;1813.05;9.50;1671.95;0.79;4360
734;floating_harbor;5000.00;9.50;475.00;1.57;7390
744;floating_harbor;3047.00;9.50;1626.00;-1.46;6361
751;floating_harbor;4426.00;9.50;659.00;-3.14;12299
768;floating_harbor;850.00;9.50;1496.00;-4.53;13285
769;floating_harbor;954.05;9.50;1424.05;-3.93;13280
809;floating_harbor;4865.12;9.50;1377.18;-3.73;957
829;floating_harbor;2546.21;9.50;851.30;-4.47;12834
900;floating_harbor;1836.00;9.50;1048.00;-3.58;11106
901;floating_harbor;1866.36;9.50;1082.21;1.25;11350
902;floating_harbor;1859.95;9.50;1096.95;-0.79;13009
903;floating_harbor;1848.00;9.50;1124.00;0.00;7123
925;floating_harbor;3654.50;9.50;844.40;-1.95;8000
931;floating_harbor;3957.27;9.50;881.08;-4.43;12208
948;floating_harbor;1693.88;9.50;1565.18;-2.55;11830
951;floating_harbor;1708.97;9.50;1599.30;-1.67;3712
981;floating_harbor;1634.00;9.50;1184.00;-3.14;13618
1008;floating_harbor;2640.18;9.50;1135.88;0.98;12857
1248;floating_harbor;3342.00;9.50;1175.00;0.00;14453
1252;floating_harbor;1834.60;9.50;1034.00;-0.54;10823
1253;floating_harbor;1689.11;9.50;1023.25;1.39;5088
1256;floating_harbor;1792.01;9.50;1037.93;0.14;10761
1322;floating_harbor;2790.00;9.50;1758.00;0.00;6196
1327;floating_harbor;3022.05;9.50;1254.95;0.79;14434
1329;floating_harbor;1861.00;9.50;1104.00;-1.57;177
1336;floating_harbor;3688.13;9.50;1081.26;-0.46;13468
1353;floating_harbor;2660.87;9.50;1579.26;0.46;6289
1377;floating_harbor;2928.95;9.50;1389.05;-2.36;14476
1484;floating_harbor;2160.21;9.50;828.64;-0.32;2228
1488;floating_harbor;2128.40;9.50;490.50;-3.52;10980
1492;floating_harbor;2267.90;9.50;759.15;-1.41;2227
1511;floating_harbor;1893.95;9.50;298.95;-0.79;14946
1520;floating_harbor;1680.74;9.50;268.13;1.11;14822
1530;floating_harbor;1689.95;9.50;180.95;-0.79;14889
1545;floating_harbor;2726.95;9.50;1251.95;-0.79;15111
1546;floating_harbor;2748.13;9.50;1242.26;-0.46;15112
1547;floating_harbor;2729.00;9.50;1252.00;-1.57;15113
1566;floating_harbor;2739.00;9.50;1617.00;0.00;3311
1608;floating_harbor;1755.90;9.50;67.15;-1.41;15016
1611;floating_harbor;2769.00;9.50;1438.00;1.01;11565
1614;floating_harbor;1808.00;9.50;178.00;0.00;15021
1615;floating_harbor;1916.97;9.50;258.63;-1.48;4573
1627;floating_harbor;811.12;9.50;304.18;-3.73;15300
1628;floating_harbor;1929.00;9.50;272.00;-2.13;15257
1629;floating_harbor;1911.00;9.50;289.00;1.57;10362
789;floating_harbor;2774.40;9.50;1496.50;0.38;11508
1094;floating_harbor;3470.26;9.50;632.87;-2.03;12941
1103;floating_harbor;3527.93;9.50;685.01;-1.71;15537
1674;floating_harbor;2667.13;9.50;1294.74;-2.68;15351
1679;floating_harbor;1538.05;9.50;812.95;0.79;15460
1681;floating_harbor;1549.63;9.50;756.53;-3.82;15463
1689;floating_harbor;1595.74;9.50;672.87;-4.25;15480
1697;floating_harbor;1686.88;9.50;581.34;-3.77;13086
1698;floating_harbor;1698.79;9.50;572.36;-3.46;15506
1705;floating_harbor;3515.00;9.50;855.00;-1.57;15582
1706;floating_harbor;1683.30;9.50;1194.79;0.24;15583
319;floating_harbor;1720.70;9.50;1157.21;-2.90;7660
1729;floating_harbor;1925.00;9.50;1686.00;0.00;373
270;floating_harbor;1062.00;9.50;314.00;-1.57;1280
671;floating_harbor;4466.20;9.50;949.60;-0.64;12297
1035;floating_harbor;2994.50;9.50;547.60;1.19;13868
1735;floating_harbor;2995.30;9.50;545.01;1.28;13868
1006;floating_harbor;2779.30;9.50;1242.79;0.24;4116
1151;floating_harbor;2774.21;9.50;1239.64;-0.32;989
12;floating_harbor;3179.60;9.50;1678.84;1.15;9240
1764;floating_harbor;4361.88;9.50;704.82;-0.59;15671
1755;floating_harbor;4550.21;9.50;549.64;-0.32;4390
795;floating_harbor;4474.00;9.50;560.00;0.00;7381
1368;floating_harbor;3346.00;9.50;1179.00;0.00;4088
326;floating_harbor;4590.13;9.50;1004.74;-2.68;10062
592;floating_harbor;4581.95;9.50;1014.05;-2.36;1047
729;floating_harbor;4581.82;9.50;1006.12;-2.16;4189
1246;floating_harbor;3340.00;9.50;1103.00;-3.52;4115
922;floating_harbor;3340.00;9.50;1103.00;-3.52;13471
1437;floating_harbor;3340.00;9.50;1103.00;-3.48;14452
910;floating_harbor;3468.03;9.50;907.37;-4.62;1920
1789;floating_harbor;3599.95;9.50;1068.05;-2.36;15806
1367;floating_harbor;3346.74;9.50;1198.13;1.11;14442
1792;floating_harbor;3066.00;9.50;1653.00;-3.14;211
1626;floating_harbor;2821.53;9.50;1522.37;0.90;11420
